name,TypeSpecific,Type,Region,Zone
H_M_Jackson_4,Hydro,Hydro,BPAT,US
Hailey_Cspp_1,Hydro_FixedDispatch,Hydro,IPMV,US
Hammett_Hill,WT-Onshore,Wind,IPTV,US
Harvest_Wind,WT-Onshore,Wind,BPAT,US
Hay_Canyon,WT-Onshore,Wind,BPAT,US
Hazelton_B1,Hydro_ZeroK,Hydro,IPMV,US
Hazelton_B2,Hydro_ZeroK,Hydro,IPMV,US
Hellroaring1,Hydro_FixedDispatch,Hydro,BPAT,US
Hellroaring2,Hydro_FixedDispatch,Hydro,BPAT,US
Hells_Canyon_1,Hydro,Hydro,IPTV,US
Hells_Canyon_2,Hydro,Hydro,IPTV,US
Hells_Canyon_3,Hydro,Hydro,IPTV,US
HermistnCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,US
HermistnGenCC1-Total,CCWhole-NatGas-Industrial,Gas CC,PACW,US
HermistnGenCC2-Total,CCWhole-NatGas-Industrial,Gas CC,PACW,US
HiddenHollow1,Bio-ICE,Biomass,IPTV,US
HiddenHollow2,Bio-ICE,Biomass,IPTV,US
High_Mesa,WT-Onshore,Wind,IPTV,US
HillsCreek1,Hydro_FixedDispatch,Hydro,BPAT,US
HillsCreek2,Hydro_FixedDispatch,Hydro,BPAT,US
HooleyDigester1,Bio-ICE,Biomass,BPAT,US
HooleyDigester2,Bio-ICE,Biomass,BPAT,US
HopkinsRidge1,WT-Onshore,Wind,BPAT,US
HopkinsRidge2,WT-Onshore,Wind,BPAT,US
HorseButteWind1,WT-Onshore,Wind,BPAT,US
HorseshoBendHY1,Hydro_ZeroK,Hydro,IPTV,US
HorseshoBendHY2,Hydro_ZeroK,Hydro,IPTV,US
HorseshoBendW1,WT-Onshore,Wind,BPAT,US
HorseshoBendW2,WT-Onshore,Wind,BPAT,US
HotSpringsWind,WT-Onshore,Wind,IPTV,US
Hungry_Horse_1,Hydro_FixedDispatch,Hydro,BPAT,US
Hungry_Horse_2,Hydro_FixedDispatch,Hydro,BPAT,US
Hungry_Horse_3,Hydro_FixedDispatch,Hydro,BPAT,US
Hungry_Horse_4,Hydro_FixedDispatch,Hydro,BPAT,US
HutchinsnCreek1,Hydro_ZeroK,Hydro,PSEI,US
Ice_Harbor_1,Hydro_FixedDispatch,Hydro,BPAT,US
Ice_Harbor_2,Hydro_FixedDispatch,Hydro,BPAT,US
Ice_Harbor_3,Hydro_FixedDispatch,Hydro,BPAT,US
Ice_Harbor_4,Hydro_FixedDispatch,Hydro,BPAT,US
Ice_Harbor_5,Hydro_FixedDispatch,Hydro,BPAT,US
Ice_Harbor_6,Hydro_FixedDispatch,Hydro,BPAT,US
IP_Springfield4,Bio-ST,Biomass,BPAT,US
Jim_Knight_1,Hydro_FixedDispatch,Hydro,IPMV,US
JohnDay01,Hydro,Hydro,BPAT,US
JohnDay02,Hydro,Hydro,BPAT,US
JohnDay03,Hydro,Hydro,BPAT,US
JohnDay04,Hydro,Hydro,BPAT,US
JohnDay05,Hydro,Hydro,BPAT,US
JohnDay06,Hydro,Hydro,BPAT,US
JohnDay07,Hydro,Hydro,BPAT,US
JohnDay08,Hydro,Hydro,BPAT,US
JohnDay09,Hydro,Hydro,BPAT,US
JohnDay10,Hydro,Hydro,BPAT,US
JohnDay11,Hydro,Hydro,BPAT,US
JohnDay12,Hydro,Hydro,BPAT,US
JohnDay13,Hydro,Hydro,BPAT,US
JohnDay14,Hydro,Hydro,BPAT,US
JohnDay15,Hydro,Hydro,BPAT,US
JohnDay16,Hydro,Hydro,BPAT,US
JuniperCanyon1,WT-Onshore,Wind,BPAT,US
KaselWitherpoonCoLS1,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoLS2,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoLS3,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoLS4,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoLS5,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoUE5,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoUW1,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoUW2,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoUW3,Hydro_ZeroK,Hydro,IPMV,US
KaselWitherpoonCoUW4,Hydro_ZeroK,Hydro,IPMV,US
KettleFalls1,Bio-ST,Biomass,AVA,US
KettleFalls2,CT-NatGas-Aero,Gas CT,AVA,US
Kings_Estate,SolarPV-NonTracking,PV,BPAT,US
KlamathCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,US
KlamathCogenCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,US
KlamathExpGT1,CT-NatGas-Aero,Gas CT,BPAT,US
KlamathExpGT2,CT-NatGas-Aero,Gas CT,BPAT,US
KlamathExpGT3,CT-NatGas-Aero,Gas CT,BPAT,US
KlamathExpGT4,CT-NatGas-Aero,Gas CT,BPAT,US
KlondikeWind1,WT-Onshore,Wind,BPAT,US
KlondikeWind2,WT-Onshore,Wind,BPAT,US
KlondikeWind3_1,WT-Onshore,Wind,BPAT,US
