name,TypeSpecific,Type,Region,Zone
Inskip_1,HydroRPS_FixedDispatch,Hydro,CIPV,CA
IntakePump1,MotorLoad,Other,CISC,CA
IntakePump2,MotorLoad,Other,CISC,CA
IntakePump3,MotorLoad,Other,CISC,CA
IntakePump4,MotorLoad,Other,CISC,CA
IntakePump5,MotorLoad,Other,CISC,CA
IntakePump6,MotorLoad,Other,CISC,CA
IntakePump7,MotorLoad,Other,CISC,CA
IntakePump8,MotorLoad,Other,CISC,CA
IntercontPulp,Bio-ST,Biomass,BCHA,CAN
Interlakes_1,Hydro,Hydro,AESO,CAN
Intermountain1,ST-Coal,Coal,PAUT,UT
Intermountain2,ST-Coal,Coal,PAUT,UT
IP_Springfield4,Bio-ST,Biomass,BPAT,PNW
IronMountainPump1,MotorLoad,Other,CISC,CA
IronMountainPump2,MotorLoad,Other,CISC,CA
IronMountainPump3,MotorLoad,Other,CISC,CA
IronMountainPump4,MotorLoad,Other,CISC,CA
IronMountainPump5,MotorLoad,Other,CISC,CA
IronMountainPump6,MotorLoad,Other,CISC,CA
IronMountainPump7,MotorLoad,Other,CISC,CA
IronMountainPump8,MotorLoad,Other,CISC,CA
IronMountainPump9,MotorLoad,Other,CISC,CA
Irrican,Hydro_FixedDispatch,Hydro,AESO,CAN
IsabellaHydroGEN1,Hydro_ZeroK,Hydro,CISC,CA
IsabellaHydroGEN2,Hydro_ZeroK,Hydro,CISC,CA
Ivanpah1ST1,SolarThermal-CSP6,CSP,CISC,CA
Ivanpah2ST1,SolarThermal-CSP6,CSP,CISC,CA
Ivanpah3ST1,SolarThermal-CSP6,CSP,CISC,CA
JacksonValley,ST-Coal,Coal,CIPV,CA
James_B_Black_1,Hydro,Hydro,CIPV,CA
James_B_Black_2,Hydro,Hydro,CIPV,CA
Jamie_Creek_1,Hydro_ZeroK,Hydro,BCHA,CAN
Jamie_Creek_2,Hydro_ZeroK,Hydro,BCHA,CAN
Jaybird_H1,Hydro,Hydro,BANC,CA
Jaybird_H2,Hydro,Hydro,BANC,CA
JeffrsnSmrftCC-Total,CCWhole-NatGas-Industrial,Gas CC,CIPB,CA
JerseyValley1,Geo-BinaryCycle,Geothermal,SPPC,NV
JerseyValley2,Geo-BinaryCycle,Geothermal,SPPC,NV
JHindPump1,MotorLoad,Other,CISC,CA
JHindPump2,MotorLoad,Other,CISC,CA
JHindPump3,MotorLoad,Other,CISC,CA
JHindPump4,MotorLoad,Other,CISC,CA
JHindPump5,MotorLoad,Other,CISC,CA
JHindPump6,MotorLoad,Other,CISC,CA
JHindPump7,MotorLoad,Other,CISC,CA
JHindPump8,MotorLoad,Other,CISC,CA
JHindPump9,MotorLoad,Other,CISC,CA
Jim_Bridger_1,ST-Coal,Coal,PAWY,COWY
Jim_Bridger_2,ST-Coal,Coal,PAWY,COWY
Jim_Bridger_3,ST-Coal,Coal,PAWY,COWY
Jim_Bridger_4,ST-Coal,Coal,PAWY,COWY
Jim_Knight_1,Hydro_FixedDispatch,Hydro,IPMV,PNW
JimmieCreek1,Hydro_ZeroK,Hydro,BCHA,CAN
JimmieCreek2,Hydro_ZeroK,Hydro,BCHA,CAN
JMShaferCC1-Total,CCWhole-NatGas-Industrial,Gas CC,PSCO,COWY
JMShaferCC2-Total,CCWhole-NatGas-Industrial,Gas CC,PSCO,COWY
JohnDay01,Hydro,Hydro,BPAT,PNW
JohnDay02,Hydro,Hydro,BPAT,PNW
JohnDay03,Hydro,Hydro,BPAT,PNW
JohnDay04,Hydro,Hydro,BPAT,PNW
JohnDay05,Hydro,Hydro,BPAT,PNW
JohnDay06,Hydro,Hydro,BPAT,PNW
JohnDay07,Hydro,Hydro,BPAT,PNW
JohnDay08,Hydro,Hydro,BPAT,PNW
JohnDay09,Hydro,Hydro,BPAT,PNW
JohnDay10,Hydro,Hydro,BPAT,PNW
JohnDay11,Hydro,Hydro,BPAT,PNW
JohnDay12,Hydro,Hydro,BPAT,PNW
JohnDay13,Hydro,Hydro,BPAT,PNW
JohnDay14,Hydro,Hydro,BPAT,PNW
JohnDay15,Hydro,Hydro,BPAT,PNW
JohnDay16,Hydro,Hydro,BPAT,PNW
JohnFeathrstone,Geo-BinaryCycle,Geothermal,IID,CA
JohnHart1_Exp,Hydro,Hydro,BCHA,CAN
JohnHart2_Exp,Hydro,Hydro,BCHA,CAN
JohnHart3_Exp,Hydro,Hydro,BCHA,CAN
Jones_Fork,HydroRPS_FixedDispatch,Hydro,BANC,CA
Jordan_River,Hydro,Hydro,BCHA,CAN
JSEastwoodPS,PS-Hydro,Storage,CISC,CA
JSEastwoodPSInflowHY,PS-Hydro_month,Storage,CISC,CA
Judge_F_Carr_1,Hydro_FixedDispatch,Hydro,BANC,CA
Judge_F_Carr_2,Hydro_FixedDispatch,Hydro,BANC,CA
Judith_Gap,WT-Onshore,Wind,NWMT,MT
JuniperCanyon1,WT-Onshore,Wind,BPAT,PNW
JuwiSolarInc,SolarPV-NonTracking,PV,EPE,NM
